in-app path,Delete app acccount,Manage App Data,login method,in-app,web link resource,Remark 1,,,
ABPV America's Best pics&vids,https://americasbestpics.com/account/delete,https://americasbestpics.com/account/delete,"email,google, apple, facebook",FALSE,TRUE,"same link (data&account together)
do not need to sign in, just input email address
then click email to confirm
",,,
Thread,https://help.instagram.com/313703828012423/?helpref=uf_share,https://help.instagram.com/179980294969821/?helpref=hc_fnav,login with ins,TRUE,TRUE,"test after Nov,27

There is no useful info about manage data website",,,
Instagram,https://www.instagram.com/accounts/login/?next=%2Faccounts%2Fremove%2Frequest%2Fpermanent%2F,https://help.instagram.com/289302621183285,email.account,FALSE,TRUE,"need to login, but after first login, it directly jump to your account
if you already have login info in the website and then click delete account link again, you can enter delete account page
then you can enter reason and passwd to delete

test after Nov,27

For the manage data, the link only shows how to delete post",,,
Netflix,https://help.netflix.com/en/node/126558,https://help.netflix.com/en/node/100625,rech issue of virtual device,TRUE,TRUE,"provide cancel/delete
provide both",,,
ChatGPT,https://help.openai.com/en/articles/6378407-how-to-delete-your-account,https://help.openai.com/en/articles/6378407-how-to-delete-your-account#h_c4bbbd07c5,google,FALSE,TRUE,"same link
can find in-app path but doc didn't mentioned",,,
Snapchat,https://help.snapchat.com/hc/en-us/articles/7012328360596-How-do-I-deactivate-or-delete-my-Snapchat-account,https://help.snapchat.com/hc/en-us/articles/12324650978964-How-do-I-clear-my-data-on-Snapchat,"google /signup
login with google has issues",TRUE,TRUE,"for android, web link
for ios: in-app path -> web link
can find in-app path but doc didn't mentioned
unput account info/passwd

test after 30 days",,,
Facebook,https://m.facebook.com/login.php?next=https%3A%2F%2Faccountscenter.facebook.com%2Fpersonal_info%2Faccount_ownership_and_control%2Fdeletion_and_deactivation%2F&refsrc=deprecated,https://m.facebook.com/help/505287739528816?wtsid=rdr_0XoHyZYpRLkKLTyji,,FALSE,TRUE,web,,,
Health Sense: Blood Sugar Hub,https://sites.google.com/view/healthapplineslimited,https://sites.google.com/view/healthapplineslimited,,FALSE,FALSE,"same link, just privacy policy
two sections about delete data: need to send email",,,
YouTube TV: Live TV & more,https://support.google.com/accounts/answer/32046,https://support.google.com/accounts/answer/32046,google,FALSE,TRUE,"same link
this doc if for all google apps",,,
Spotify: Music and Podcasts,https://support.spotify.com/us/article/data-rights-and-privacy-settings/,https://support.spotify.com/us/article/how-can-i-close-my-spotify-account/,,FALSE,FALSE,"very diffivult to find delete in doc
need to search: https://support.spotify.com/us/article/how-can-i-close-my-spotify-account/
chatbot
",,,deleted
Telegram,https://my.telegram.org/auth?to=delete,https://telegram.org/faq#q-can-i-delete-my-data-without-deleting-my-account,phone number,FALSE,TRUE,cannot signup ,"input phone number to delete directly
(manage data - in path)",,
Tubi: Free Movies & Live TV,https://tubitv.com/help-center/App-Features-and-Settings/articles/115000190954,https://tubitv.com/help-center/App-Features-and-Settings/articles/115000190954,,TRUE,FALSE,"same link
country difference: UK/EU is deletion form ",,,
X,https://help.x.com/en/managing-your-account/how-to-deactivate-x-account,https://twitter.ethicspointvp.com/custom/twitter/forms/data/form_data.asp,google,FALSE,TRUE,"deactive-> delete
",,,
CVS/pharmacy,https://www.cvs.com/retail/help/help_contact_us,https://www.cvs.com/retail/help/help_contact_us,,FALSE,FALSE,"same link, no delete link info",,,
MacDonald's,https://www.mcdonalds.com/us/en-us/faq/how-do-i-delete-my-account.html,https://www.mcdonalds.com/us/en-us/faq/how-do-i-delete-my-account.html,"facebook,email,google",TRUE,FALSE,"same link
delete directly, no need to login",,,
ShortMax - Watch Dramas & Show,https://www.shorttv.live/privacy-policy.html,https://www.shorttv.live/privacy-policy.html,,FALSE,FALSE,"same link, just privacy policy
If you wish to delete your account as long as email, phone number or any other information associated with your account permanently, 
please contact us at shorttv.service@shorttv.live.",                                                                                                                                         ,,
DoorDash - Food Delivery,https://about.doordash.com/en-us/privacy,,"email,phone,facebook, apple, google
need to enter phone number",TRUE,TRUE,priavcy policy - provide in-app path and website link,,,
       ,https://app.life360.com/login?source=playstore,,phone number,TRUE,FALSE,,,,
Cash App,https://cash.app/login?redirect=support,,"phone, email",FALSE,FALSE,"(does not surpport virtual device)
input email ot phone number to delete
the link cannot login, cannot receive emial and phone number code
can find in-app path but doc didn't mentioned",,,
WhatsApp Messenger,https://faq.whatsapp.com/2138577903196467/?cms_platform=android,,"mobile number (after sign in, can add email)",TRUE,FALSE,,,,
Chime - Mobile Banking,https://help.chime.com/hc/en-us/articles/4420558224663-How-do-I-close-my-Chime-account,,needs phone number,TRUE,FALSE,"needs to login, do not have extra phone number","ou can close your Chime account in the Chime mobile app.

Go to Settings.
Tap Personal info.
Tap Close Account and follow the steps.
Alternatively, you can call us at (844) 244-6363.

We’ll close your account within five business days of receiving your request. Once your account is closed, you can no longer access it. If you need tax documents or other types of statements for the account before closing it, download them in the Documents section of your app settings.",,
Pinterest,https://help.pinterest.com/en/article/deactivate-or-close-your-account,,"google, facebook, email",TRUE,TRUE,"We'll delete your account and delete your Pinterest account data after 7 days. 
If you change your mind before 7 days are up, log in with your email and password and we'll send you a link to reactivate your account.",,,
Uber - Request a ride,https://help.uber.com/ubereats/restaurants/article/i-need-help-deleting-my-uber-eats-account?nodeId=4dd32b64-1d31-4c25-a1ed-f7817c0d6e17,,"google apple emial phone
needs phone number",FALSE,TRUE,"needs to login, do not have extra phone number
in-app path can be found",,,
